cv_score,github_score,final_score,confidence,matched_req,missing_req,red_flags,evidence_count,has_github,validated_skills,recommendation
29,0,29,69,3,6,2,3,0,1,RESPINGE
16,0,16,64,4,9,4,0,0,2,RESPINGE
26,0,26,67,1,9,5,3,0,1,RESPINGE
14,0,14,65,1,6,6,2,0,1,RESPINGE
68,44,61,95,5,5,2,4,1,3,REVIZUIRE
7,33,15,81,1,5,3,3,1,1,RESPINGE
96,0,96,81,9,2,0,7,0,3,INVITA
2,0,2,83,4,6,3,3,1,0,RESPINGE
59,0,59,67,3,4,3,2,0,1,REVIZUIRE
40,0,40,65,1,5,6,2,0,0,RESPINGE
26,0,26,70,4,5,6,3,0,1,RESPINGE
37,6,28,84,2,8,6,0,1,2,RESPINGE
13,0,13,62,0,5,3,1,0,2,RESPINGE
28,0,28,65,3,6,2,1,0,1,RESPINGE
84,0,84,81,9,2,2,9,0,6,INVITA
65,0,65,69,5,3,0,2,0,2,REVIZUIRE
71,55,66,95,5,5,0,5,1,3,REVIZUIRE
60,0,60,75,7,2,3,4,0,5,REVIZUIRE
43,2,31,90,4,8,2,2,1,2,RESPINGE
33,0,33,68,2,5,6,3,0,2,RESPINGE
85,76,82,95,11,2,2,5,1,5,INVITA
66,46,60,94,7,2,3,2,1,3,REVIZUIRE
82,88,84,95,6,3,1,5,1,6,INVITA
90,73,85,95,6,1,1,9,1,5,INVITA
48,0,48,74,8,6,1,3,0,3,REVIZUIRE
47,0,47,69,3,5,0,3,0,4,REVIZUIRE
45,0,45,69,3,7,3,3,0,2,REVIZUIRE
38,0,38,65,1,10,2,2,0,1,RESPINGE
78,64,74,95,10,2,2,9,1,10,REVIZUIRE
55,45,52,95,7,5,3,4,1,2,REVIZUIRE
26,0,26,69,3,9,5,3,0,2,RESPINGE
49,0,49,67,3,3,2,2,0,4,REVIZUIRE
70,76,72,95,12,1,0,8,1,7,REVIZUIRE
47,64,52,95,8,6,3,4,1,4,INVITA
43,6,32,80,1,9,2,3,1,0,RESPINGE
73,0,73,73,5,2,2,4,0,3,REVIZUIRE
26,0,26,61,1,5,3,0,0,2,RESPINGE
52,0,52,77,7,3,1,5,0,3,REVIZUIRE
73,52,67,93,5,6,1,2,1,4,REVIZUIRE
27,0,27,65,3,10,4,1,0,1,RESPINGE
24,0,24,64,4,6,4,0,0,2,RESPINGE
43,22,37,77,0,8,5,2,1,0,RESPINGE
16,0,16,61,1,9,2,0,0,1,RESPINGE
23,12,20,79,0,6,4,3,1,0,RESPINGE
56,51,54,95,5,3,2,5,1,3,REVIZUIRE
47,0,47,68,4,5,2,2,0,4,RESPINGE
23,0,23,66,2,8,5,2,0,0,RESPINGE
64,49,60,95,7,4,1,2,1,4,REVIZUIRE
2,34,12,75,2,7,2,0,1,0,RESPINGE
66,56,63,95,8,6,3,6,1,2,REVIZUIRE
89,83,87,95,10,0,2,7,1,6,INVITA
23,0,23,62,2,8,4,0,0,1,RESPINGE
100,58,87,95,13,0,2,6,1,3,INVITA
8,13,10,85,1,4,6,1,1,2,RESPINGE
9,34,16,79,4,4,4,1,1,0,RESPINGE
42,20,35,85,1,4,4,1,1,2,REVIZUIRE
26,0,26,64,0,7,5,2,0,2,RESPINGE
52,33,46,87,3,6,2,5,1,1,REVIZUIRE
83,93,86,95,13,3,0,5,1,8,INVITA
39,0,39,70,4,9,4,3,0,2,RESPINGE
64,0,64,78,8,2,1,5,0,4,REVIZUIRE
71,0,71,76,6,2,2,5,0,3,REVIZUIRE
49,57,51,84,6,2,0,2,1,1,REVIZUIRE
95,0,95,76,6,2,2,5,0,9,INVITA
69,0,69,80,8,2,2,6,0,3,REVIZUIRE
51,0,51,74,6,3,0,4,0,5,REVIZUIRE
88,0,88,82,12,0,2,10,0,7,REVIZUIRE
79,59,73,95,11,0,0,6,1,9,REVIZUIRE
45,0,45,77,7,3,3,5,0,4,REVIZUIRE
68,0,68,71,7,6,0,2,0,2,REVIZUIRE
66,0,66,78,6,5,3,6,0,4,REVIZUIRE
32,0,32,69,3,4,4,3,0,2,RESPINGE
25,8,20,77,0,4,3,2,1,0,RESPINGE
7,0,7,69,3,5,3,3,0,2,RESPINGE
71,31,59,93,5,2,3,2,1,4,REVIZUIRE
20,0,20,68,4,7,5,2,0,0,RESPINGE
75,82,77,95,15,3,2,7,1,4,INVITA
37,0,37,64,0,7,4,2,0,0,RESPINGE
32,0,32,68,4,8,3,2,0,1,RESPINGE
96,0,96,79,7,1,1,6,0,5,INVITA
90,0,90,82,13,3,2,9,0,10,INVITA
90,83,88,95,15,2,2,7,1,5,INVITA
54,49,52,93,7,2,2,6,1,1,REVIZUIRE
23,35,27,80,0,9,2,3,1,1,RESPINGE
71,87,76,95,15,1,1,9,1,10,INVITA
6,15,9,77,2,9,2,1,1,0,RESPINGE
86,81,84,95,8,2,1,7,1,9,INVITA
46,65,52,90,8,4,0,4,1,1,REVIZUIRE
42,9,32,81,4,10,3,2,1,0,RESPINGE
65,54,62,95,6,3,0,4,1,5,REVIZUIRE
49,53,50,95,8,6,0,5,1,5,REVIZUIRE
13,0,13,65,3,5,3,1,0,0,RESPINGE
73,93,79,95,14,0,2,7,1,5,INVITA
44,23,38,75,1,9,5,0,1,1,RESPINGE
28,0,28,65,3,5,6,1,0,1,RESPINGE
98,87,95,95,11,3,1,7,1,9,INVITA
96,0,96,80,15,1,1,5,0,10,INVITA
48,47,48,93,7,2,2,2,1,2,REVIZUIRE
71,0,71,68,4,5,2,2,0,4,REVIZUIRE
52,0,52,67,3,4,1,2,0,3,REVIZUIRE
90,99,93,95,8,1,0,7,1,10,INVITA
85,64,79,95,6,0,0,7,1,6,INVITA
86,70,81,95,10,1,1,5,1,3,INVITA
84,0,84,82,13,0,2,9,0,6,INVITA
0,0,0,63,1,8,5,1,0,2,RESPINGE
56,0,56,77,7,6,0,5,0,4,REVIZUIRE
78,92,82,95,11,0,1,6,1,4,INVITA
46,0,46,75,5,3,3,5,0,2,REVIZUIRE
29,0,29,61,1,4,3,0,0,1,RESPINGE
71,33,60,95,5,2,1,4,1,3,REVIZUIRE
48,41,46,95,6,5,3,5,1,3,REVIZUIRE
74,41,64,93,5,2,3,2,1,4,REVIZUIRE
47,0,47,77,5,4,3,6,0,4,REVIZUIRE
59,0,59,73,5,6,3,4,0,1,REVIZUIRE
56,58,57,95,8,3,0,3,1,5,INVITA
41,0,41,65,3,8,2,1,0,2,REVIZUIRE
59,47,55,95,7,3,2,5,1,3,REVIZUIRE
11,0,11,67,3,8,2,2,0,1,RESPINGE
39,0,39,65,3,5,2,1,0,0,RESPINGE
84,74,81,95,11,2,2,5,1,7,INVITA
99,67,89,95,8,2,2,6,1,4,INVITA
31,0,31,70,4,8,4,3,0,2,RESPINGE
72,63,69,95,13,3,1,9,1,4,REVIZUIRE
59,0,59,79,7,4,1,6,0,5,REVIZUIRE
83,65,78,95,6,0,2,6,1,7,INVITA
77,95,82,95,14,2,0,7,1,6,INVITA
40,0,40,66,4,4,6,1,0,2,RESPINGE
42,0,42,64,4,6,6,0,0,0,RESPINGE
94,86,92,95,9,3,2,10,1,3,INVITA
65,34,56,95,6,3,3,4,1,4,REVIZUIRE
26,0,26,63,1,6,6,1,0,1,RESPINGE
72,0,72,78,6,3,2,6,0,5,REVIZUIRE
7,0,7,61,1,5,2,0,0,1,RESPINGE
83,0,83,80,8,2,2,10,0,8,INVITA
32,0,32,62,2,7,2,0,0,1,RESPINGE
76,73,75,95,6,0,1,8,1,10,INVITA
83,0,83,82,10,2,1,7,0,3,INVITA
51,0,51,77,5,2,3,6,0,4,REVIZUIRE
39,0,39,66,0,5,2,3,0,1,RESPINGE
56,32,49,90,4,6,3,6,1,1,RESPINGE
60,50,57,95,4,6,1,4,1,5,REVIZUIRE
93,100,95,95,15,2,2,9,1,10,INVITA
45,0,45,80,8,2,3,6,0,3,REVIZUIRE
92,58,82,95,15,3,1,10,1,6,INVITA
40,7,30,85,3,5,3,0,1,2,RESPINGE
58,0,58,80,8,3,3,6,0,5,REVIZUIRE
93,88,92,95,8,1,2,7,1,10,INVITA
84,94,87,95,11,2,2,10,1,7,INVITA
78,99,84,95,9,2,1,10,1,6,INVITA
56,64,58,95,8,4,2,2,1,5,REVIZUIRE
96,77,90,95,8,2,0,7,1,4,INVITA
68,0,68,76,4,6,2,6,0,3,REVIZUIRE
63,0,63,69,3,6,1,3,0,1,REVIZUIRE
60,0,60,74,4,2,1,5,0,4,REVIZUIRE
18,0,18,62,0,10,2,1,0,2,RESPINGE
71,86,76,95,8,3,0,5,1,9,INVITA
97,76,91,95,6,0,1,9,1,4,INVITA
87,76,84,95,8,3,1,6,1,4,INVITA
53,41,49,95,3,4,2,6,1,2,REVIZUIRE
57,41,52,91,7,4,0,5,1,1,REVIZUIRE
74,0,74,75,5,5,1,5,0,3,REVIZUIRE
68,59,65,83,5,4,1,2,1,1,REVIZUIRE
61,44,56,95,8,4,0,4,1,3,REVIZUIRE
9,0,9,70,4,6,5,3,0,2,RESPINGE
94,0,94,82,15,0,2,8,0,8,INVITA
46,63,51,95,7,3,1,3,1,3,REVIZUIRE
67,38,58,91,3,6,3,2,1,4,REVIZUIRE
46,30,41,95,8,4,0,5,1,3,RESPINGE
46,0,46,72,8,2,0,2,0,4,REVIZUIRE
8,24,13,83,3,6,5,3,1,1,RESPINGE
97,88,94,95,11,0,0,9,1,9,INVITA
96,0,96,78,6,2,1,10,0,9,INVITA
77,57,71,95,8,2,0,10,1,4,REVIZUIRE
69,32,58,81,3,3,1,2,1,1,REVIZUIRE
72,0,72,78,8,2,3,5,0,2,REVIZUIRE
94,0,94,82,14,2,0,10,0,8,INVITA
96,81,91,95,10,1,2,9,1,6,INVITA
37,22,32,80,1,9,5,3,1,0,RESPINGE
70,54,65,95,8,5,3,3,1,3,REVIZUIRE
52,56,53,94,5,3,3,2,1,5,REVIZUIRE
49,0,49,69,5,3,2,2,0,4,REVIZUIRE
12,0,12,63,3,9,6,0,0,0,RESPINGE
93,55,82,95,9,3,0,7,1,7,INVITA
7,15,9,79,3,5,6,1,1,1,RESPINGE
82,84,83,95,11,2,1,7,1,10,INVITA
85,57,77,95,11,1,1,7,1,9,INVITA
9,0,9,70,4,8,6,3,0,1,RESPINGE
57,61,58,95,4,5,2,4,1,4,REVIZUIRE
81,0,81,82,14,3,0,9,0,3,INVITA
72,59,68,95,6,0,1,6,1,6,REVIZUIRE
32,0,32,66,0,8,6,3,0,2,RESPINGE
35,0,35,64,0,8,4,2,0,0,RESPINGE
58,45,54,95,4,2,0,6,1,2,REVIZUIRE
71,0,71,76,6,2,2,5,0,4,REVIZUIRE
77,0,77,79,7,0,0,8,0,9,INVITA
65,0,65,74,4,2,3,5,0,3,REVIZUIRE
73,72,73,95,6,1,0,10,1,10,INVITA
53,43,50,89,7,2,1,4,1,1,REVIZUIRE
92,91,92,95,7,2,0,9,1,6,INVITA
73,33,61,95,6,3,0,6,1,3,REVIZUIRE
4,0,4,68,4,8,5,2,0,0,RESPINGE
84,60,77,95,11,3,1,6,1,9,INVITA
15,9,13,81,0,6,3,3,1,2,RESPINGE
48,0,48,73,5,5,2,4,0,1,REVIZUIRE
28,0,28,64,4,7,2,0,0,0,RESPINGE
38,5,28,83,3,4,4,3,1,1,RESPINGE
52,49,51,93,4,5,1,3,1,3,REVIZUIRE
10,0,10,63,3,6,5,0,0,1,RESPINGE
40,0,40,64,4,5,5,0,0,0,RESPINGE
80,96,85,95,12,2,1,7,1,9,INVITA
20,0,20,63,1,7,4,1,0,1,RESPINGE
44,0,44,68,4,10,3,2,0,1,REVIZUIRE
81,0,81,82,15,1,2,9,0,5,INVITA
68,0,68,76,8,3,3,4,0,1,REVIZUIRE
83,100,88,95,8,2,0,7,1,5,INVITA
59,56,58,95,6,6,3,6,1,5,REVIZUIRE
81,65,76,95,14,0,0,6,1,8,INVITA
41,0,41,69,3,10,4,3,0,0,REVIZUIRE
33,0,33,68,4,5,5,2,0,1,RESPINGE
67,56,64,92,5,2,3,2,1,3,REVIZUIRE
9,0,9,68,2,7,3,3,0,1,RESPINGE
67,0,67,67,3,4,0,2,0,1,REVIZUIRE
66,51,61,95,8,3,1,6,1,2,REVIZUIRE
77,80,78,95,8,1,2,10,1,9,RESPINGE
84,72,80,95,12,0,2,6,1,6,INVITA
72,84,76,95,14,1,1,7,1,6,INVITA
60,37,53,95,8,4,3,6,1,4,REVIZUIRE
